title,category
Governo Temer garante só 20% da verba necessária para ciência do país,ciencia
Os computadores que estão sendo treinados para vencer você em qualquer discussão,ciencia
Relator inclui curso a distância no Fies e permite desconto de 20% do salário,educacao
Nobel de Física vai para cientistas que detectaram ondas gravitacionais,ciencia
Psicólogo cria 'kit de reparo' para descontentamento no casamento,equilibrioesaude
Microsoft vai encerrar serviço de música Groove e oferecer migração para Spotify,tec
De teste de DNA caseiro a organismos geneticamente modificados: os projetos dos biohackers brasileiros,ciencia
Mel Lisboa lê poemas russos em série sobre 100 anos da Revolução,tv
Nobel de Fisiologia ou Medicina vai para pesquisas sobre relógio biológico,ciencia
11 dicas de um cientista para estimular e manter o cérebro saudável,ciencia
Redondamente enganados: por que a ideia da Terra plana não faz sentido,ciencia
Gamers fazem campo de treinamento para levar troféu de e-sport,tec
Nova espécie da ratazana gigante é descoberta por cientista australiano,ciencia
Conheça cinco meios de transporte únicos que viraram atração turística,turismo
OIT e Missão Paz integram debate sobre trabalho forçado e imigração na moda,tv
Especialistas debatem trabalho forçado e imigração na cadeia da moda; veja,tv
Descoberta de brasileiro rendeu Nobel de medicina a britânico,ciencia
"Programa tenta reduzir drogas entre jovens, mas consumo de álcool cresce",equilibrioesaude
Governo Temer abandona programa de envio de livros literários a escolas,educacao
"Um em cada cinco paulistanos tem pressão alta, aponta pesquisa",equilibrioesaude
Conheça os cuidados necessários para investir em bitcoin,tv
Cruzeiros revertem parte de reservas para vítimas de furacão no Caribe,turismo
"Após ser destruído por tornado, museu das Missões é reaberto no RS",turismo
Delta libera wi-fi gratuito para mensagens de texto a bordo,turismo
"Saiba quem são os favoritos para o Nobel, segundo cientistas brasileiros",ciencia
Governo de SP anuncia doação de computadores para escolas públicas,educacao
"Zika virou ameaça por uma única mutação em 2013, dizem cientistas",equilibrioesaude
"Pela 1ª vez, cientistas removem doença genética com 'cirurgia química' de embrião",ciencia
Cientistas brasileiros usam canto e DNA para identificar nova perereca no Cerrado,ciencia
'Para de chorar porque o seu marido vai cansar': o estigma da depressão pós-parto que afeta 1 em 4 mães no Brasil,equilibrioesaude
Air France-KLM terá voos de Fortaleza para Amsterdã e Paris em 2018,turismo
Filmes de terror viram realidade em parque da Universal em Orlando,turismo
Jornalista dispensa máquinas digitais para retratar Japão de forma analógica,turismo
Belém conserva cenário que encantou escritor Mário de Andrade há 90 anos,turismo
Instituição abre museu dedicado a moedas em Paris,turismo
Ilha de Marajó ainda é o paraíso dos diários de 1927 de Mário de Andrade,turismo
Decisão do STF impõe desafio para não discriminar fés minoritárias,educacao
Veja cinco sítios arqueológicos para conhecer no Brasil,turismo
Italiano radicado no Rio de Janeiro conta seus lugares preferidos no Brasil,turismo
Veja como usar a tecnologia para registrar as suas férias,turismo
São Paulo recebe Oktoberfest a partir desta sexta,turismo
Doria corta 'professor coringa' para tapar buracos em salas da periferia,educacao
Cerveja artesanal e arte de rua ganham espaço na luxuosa Palm Beach,turismo
Lagosta é isca para turistas no sul da Bahia e tem festival próprio,turismo
"Câmara de SP aprova reajuste de 3,71% no salário de profissionais de educação",educacao
STF mantém aval para aula de religião vinculada a crença em escola pública,educacao
"Como se proteger do nRansom, vírus que exige 'nudes' para liberar seu computador",tec
Vídeo em 360° mostra como é o acampamento-base do monte Everest,tv
Concentração bancária pode 'favorecer' o sistema,tec
Idade faz com que pais transmitam mais mutações aos filhos do que mães,ciencia
Aranhazinha recebe nome em homenagem a Bernie Sanders,ciencia
Twitter testa dobrar limite de 140 caracteres em postagens,tec
Estímulos 'retomam' consciência de pessoa em estado vegetativo há 15 anos,ciencia
Aluno branco que usava cota para negros na UFMG vai desistir de curso,educacao
"'Por insegurança, foi difícil acreditar em mim mesmo', diz Luan Santana",tv
Projetos usam dança como terapia para pessoas com depressão e idosos,equilibrioesaude
"Ser criativo não basta, é preciso saber de negócios, diz fundadora do youPIX",tec
China multa empresas por não censurarem conteúdo on-line adequadamente,tec
YouPIX CON reúne criadores para discutir conteúdo e mercado digital,tec
SP irá dobrar número de profissionais para reduzir agressões em escolas,educacao
"Acúmulo de conhecimento por um país intensifica economia, diz físico do MIT",ciencia
Bel Kowarick lê texto sobre a mulher na sociedade pós-Revolução Russa,tv
Software identifica 'rosto gay' e gera preocupação entre cientistas,ciencia
"Tocantins é Estado campeão em raios; em SP, São Caetano lidera ranking",ciencia
Farmacêuticas desenvolvem novas terapias contra a hemofilia,equilibrioesaude
Neurocientista mostra em livro por que cérebro ainda é uma incógnita,ciencia
"Livro desvenda arara-azul-de-lear, descrita por sobrinho de Napoleão",ciencia
Brancos usam cota para negros e entram no curso de medicina da UFMG,educacao
Parques de diversões da Lego terão montanha-russa com realidade virtual,turismo
Minha neta tem febre periódica. O que é isso e o que posso fazer?,equilibrioesaude
Site elege os melhores museus do Brasil e do mundo,turismo
Cientistas criam novos anticorpos capazes de atacar até 99% dos tipos de HIV,equilibrioesaude
Como grandes empresas deixaram o Brasil viciado em junk food,equilibrioesaude
"Investir em fundos multimercados é boa opção, mas exige pesquisa; veja",tv
Brasil quer liquidar empresa com a Ucrânia após fracasso de foguete,ciencia
Paçoca de carne de sol faz parceria com baião de dois cremoso no Fitó,tv
"Google paga US$ 1,1 bilhão por equipe de 2.000 funcionários de parceira",tec
Superbactérias podem se tornar a principal causa de morte no mundo,equilibrioesaude
Região da Andaluzia tem pesca de atum e produção de presunto cru,turismo
Copenhague impressiona com organização e muita área verde,turismo
Fotógrafo registra paisagens de Portugal com drone e celular,turismo
"Praias, serras e vilas brancas atraem turistas para região da Andaluzia",turismo
Rota religiosa que liga Minas a São Paulo é inaugurada,turismo
Operadoras de viagem dão descontos de até 50%,turismo
"No sul da Dinamarca, visitantes podem pegar suas próprias ostras",turismo
Veja hotéis com programação especial de dia das crianças,turismo
Veja cinco mercados para conhecer pelo mundo,turismo
"Em vídeo 360°, curador detalha mostra de Robert Frank no novo IMS",tv
"Para paliativistas, é crucial haver honestidade com paciente grave",equilibrioesaude
"Fim do mundo tem nova data, o próximo sábado",ciencia
"Motivação de aluno pode vencer barreira social, afirma estudo",educacao
Site de viagem lista melhores hotéis para Oktoberfest em Munique,turismo
"""Quero minhas homenagens feitas em vida"", diz Ney Latorraca",tv
Pesquisa mapeia o comportamento sexual de gays e bissexuais no Brasil,equilibrioesaude
"Turistas brasileiros querem ir para o Nordeste e para o Sul, diz pesquisa",turismo
Engenheiros chineses mudam de lugar templo de 135 anos e 2.000 toneladas,turismo
Danilo Grangheia lê Maiakóvski em série dos 100 anos da Revolução Russa,tv
Entenda por que aconteceu e o que foi dito no 2º depoimento de Lula a Moro,tv
Vírus primos da dengue podem estar na ativa,equilibrioesaude
"Pais arrecadam R$ 3,6 milhões para tratar criança com doença rara",equilibrioesaude
Qual é a explicação científica para que alguns pratos fiquem mais gostosos no dia seguinte?,ciencia
SP tem quase 2 professores agredidos ao dia; ataque vai de soco a cadeirada,educacao
Cientistas americanos desenvolvem injeção única que pode reunir todas as vacinas infantis,ciencia
Quem são e o que pensam os brasileiros que acreditam que a Terra é plana,ciencia
Disney anuncia novas datas em que Magic Kingdom funcionará até as 23h,turismo
"De Teixeira a Del Nero, vídeo explica em 4 minutos a corrupção na CBF",tv
Missão Cassini chega ao fim com mergulho furioso em Saturno,ciencia
"Entenda a crise envolvendo a JBS, Janot e Temer em vídeo de 4 minutos",tv
O que é 5G e por que ele deve mudar o modo como usamos a internet,tec
"Com série de recordes, vale a pena entrar na Bolsa? Vídeo dá a resposta",tv
"Gatos líquidos, pênis feminino e orelha de idosos; veja quem levou o Ig Nobel",ciencia
"Doença de Lady Gaga, fibromialgia causa dor, mas vida normal é possível",equilibrioesaude
Bicicleta conectada à internet pode ajudar a melhorar o trânsito,tec
"Duas vezes mais mulheres do que homens perdem interesse em sexo após o casamento, indica estudo",equilibrioesaude
A surpreendente amostra de DNA encontrada na Antártida que pode indicar vida em lugar impensável,ciencia
"Smartphones vão redefinir o sistema bancário, diz presidente do PayPal",tec
Reitor da UFSC é preso em operação que apura desvio de verba em cursos,educacao
"Digitalização levará à 4ª revolução industrial, diz presidente da Nokia",tec
Jericoacoara vai cobrar taxa de visitação a partir de 21 de setembro,turismo
Veja cinco lugares para conhecer cavernas pelo Brasil,turismo
Amigos percorrem 24 mil quilômetros pelo Brasil de carro; veja fotos,turismo
Rota da cerveja vai até a 'alemã' Pomerode,turismo
"Estradas da Úmbria, na Itália, são convite para pedalar com crianças",turismo
"Terra da Oktoberfest, Blumenau tem passeios por fábricas de cerveja e bares",turismo
Museus contam a história de carros de luxo na Itália,turismo
Costa-riquenha conta seus lugares preferidos no Brasil,turismo
Livro de ilustradores poloneses traz mapas com curiosidades ilustradas,turismo
Museus mostram primeiros modelos da Mercedes e esportivos da Porsche,turismo
"Querida, denegrir, roteiro da Globo: falas curiosas no depoimento de Lula",tv
Feira de start-ups tem 'tinder' de looks e socorro para celular 'afogado',tec
Democracia animal: cachorros selvagens africanos espirram para 'votar' em decisões coletivas,ciencia
"Aspirina pode regenerar dente após cárie, dizem cientistas",ciencia
Assista aos vídeos do 2º depoimento do ex-presidente Lula a Sergio Moro,tv
"Cabo submarino de 10,8 mil km levará sinal de internet de SP a NY",tec
Tati Bernardi responde a comentários deixados em suas colunas; veja,tv
Conheça os mitos e verdades do mundo espelhado dos gêmeos,ciencia
Novo iPhone de US$ 999 é recebido com ceticismo pelo mercado,tec
"As tabelas trigonométricas mais fáceis e precisas, criadas mil anos antes de Pitágoras",educacao
"Brasileiro tomaria menos 'refri' se preço fosse salgado, aponta pesquisa",equilibrioesaude
Tenho muita coceira no olho. O que pode ser? Posso coçar?,equilibrioesaude
Universidades adotam vestibular específico para alunos indígenas,educacao
'Por que deixei de ser vegano para tentar melhorar minha saúde',equilibrioesaude
Americanos desenvolvem caneta que identifica câncer em 10 segundos,ciencia
Foi vítima de fraude no cartão de crédito? Vídeo ensina o que fazer,tv
Hidrelétrica provocou adaptações evolutivas em lagartixas do cerrado,ciencia
"Na ciência, resultados positivos são 'tentação' e reprodutibilidade é desafio",ciencia
Ministério cancela compra de livro após suspeita em processo de escolha,educacao
Farmacêutica Sanofi desiste de desenvolver vacina contra a zika,equilibrioesaude
Pezão nega privatização da Uerj e quer que estudante trabalhe para o Estado,educacao
Saiba como é conhecer o litoral sul da Croácia em um barco de aluguel,turismo
"Falar em cura para Aids é criar uma cortina de fumaça, diz antropólogo",equilibrioesaude
"Ilhas do sul da Croácia têm cavernas, cidades históricas e bons restaurantes",turismo
"Jalapão (TO) vira cenário de 'O Outro Lado do Paraíso', nova novela das nove",turismo
"No interior de SP, cidade natal de Portinari conserva suas obras",turismo
Farol da Torre Eiffel é desligado para manutenção,turismo
Por que é tão difícil um furacão como o Irma atingir o Brasil?,ciencia
Doença de Kate Middleton é mais comum na primeira gravidez,equilibrioesaude
Vídeo explica por que partidos querem mudar de nome e eliminar o 'P',tv
Cientistas identificam as 'vozes' ouvidas por pacientes esquizofrênicos,ciencia
Dez universidades brasileiras deixam ranking das mil melhores; 4 entram,educacao
Vídeo mostra em 360° descida de esqui em montanha francesa,tv
"Temos que ensinar machões a serem afetuosos com os filhos, diz 'papai pop'",equilibrioesaude
Violinista que perdeu fala e movimentos volta a tocar com uso de tecnologia de ondas cerebrais criada por brasileiro,ciencia
9 coisas que você provavelmente não sabia que foram inventadas ou descobertas por mulheres,ciencia
A nova câmera que consegue enxergar de fora o interior do corpo humano,equilibrioesaude
"Em série sobre Revolução Russa, ator lê 'Dez Dias que Abalaram o Mundo'",tv
Veja em 360° os dois lados do muro que divide Israel e Cisjordânia,tv
"Seres humanos alteram florestas há 45 mil anos, mostra estudo",ciencia
Programa 'caça' talentos e leva alunos até de pior escola pública à Unicamp,educacao
Pesquisadores marcham na Paulista contra cortes de Temer na ciência,ciencia
Tenho bócio e gostaria de operar. O que faço?,equilibrioesaude
Só 6% dos cursos avaliados têm desempenho máximo no Enade 2016,educacao
Vídeo detalha em 4 minutos de que forma o PIB afeta seus investimentos,tv
Julgamento sobre ensino religioso em escola pública fica para setembro,educacao
Parque de Paris anuncia abertura de área para nudistas,turismo
"Diferente do previsto, antepassado de baleia era predador de dentes afiados",ciencia
"Unicamp propõe vestibular indígena, cotas e 20% das vagas pelo Sisu",educacao
Total de matrículas no ensino superior tem estagnação inédita em 2016,educacao
Vídeo faz tour por bastidores pouco vistos da São Paulo Fashion Week,tv
Turista fica cara a cara com vulcão em atividade na Nicarágua,turismo
Exposição de flores de Holambra deve atrair 300 mil visitantes,turismo
Conheça cinco rodas gigantes panorâmicas pelo mundo,turismo
Chuvas no Chile enchem deserto do Atacama de flores,turismo
Escaneamento facial e robôs integram aeroportos do futuro,turismo
"Comida, vinho, música e história aguçam sentidos em Santiago",turismo
Hotéis pelo mundo guardam histórias de suítes secretas,turismo
"Nicarágua tem vulcões ativos, florestas preservadas e praias boas para o surfe",turismo
Esqui adaptado permite aventura no Valle Nevado que parecia inatingível,turismo
Anvisa suspende lotes de paracetamol e de dois antibióticos,equilibrioesaude
"Ensino religioso em escola pública não deve promover crença, diz Barroso",educacao
Pela primeira vez terapia gênica é aprovada nos EUA; leucemia é o alvo,equilibrioesaude
Amazon e Microsoft permitirão que assistentes Alexa e Cortana se falem,tec
Google acirra luta com Apple com ferramenta de realidade aumentada,tec
Governo Temer desiste de antecipar alfabetização do 3º para o 2º ano,educacao
Rio solta milhões de Aedes com bactéria para combater dengue e zika,equilibrioesaude
Idosos superam artrite e até depressão com esporte: 'Prefiro morrer na quadra a largar isso',equilibrioesaude
"A revolucionária invenção que, sem eletricidade, fornece água potável para hondurenhos",ciencia
"A geração smartphone, que bebe menos álcool, faz menos sexo e não está preparada para a vida adulta",equilibrioesaude
"'Mesmo com medo, sei que hoje posso brindar minha existência', diz Liniker",tv
Olimpíada de matemática aproxima gerações e revela mudanças no ensino,educacao
EUA aceleram teste de psicodélico contra o estresse pós-traumático,equilibrioesaude
Pesquisadora conta em livro 120 anos de história de homens trans,equilibrioesaude
"Apple deve apresentar novos iPhones em 12 de setembro, diz jornal",tec
Fitbit lança relógio inteligente mirando competição com Apple,tec
Marcelo Tas estreia série com textos sobre os 100 anos da Revolução Russa,tv
"Sem verba, institutos nacionais de pesquisa correm risco de fechar",ciencia
"'Situação financeira enfrentada pela Unicamp é dramática', afirma reitor",educacao
"Com ajuda de amigos e investidor-anjo, estudante sonha ir ao espaço",ciencia
Os peixes que ficam 'bêbados' para sobreviver ao inverno,ciencia
"Por 'problema técnico', usuários têm dificuldades para acessar o Facebook",tec
"Os corações artificiais ainda custam caro demais, diz cirurgião britânico",equilibrioesaude
Vídeo explica o histórico de tensão e conflitos raciais nos Estados Unidos,tv
"No Brasil, corações artificiais ainda são pouco utilizados",equilibrioesaude
Não tomo leite. Corro risco de osteoporose na menopausa?,equilibrioesaude
Brasileiro é quem mais sofre fraudes na internet,tec
Google Assistente em português é liberado para iOS,tec
O 'hotel sobre rodas' nos EUA que pode substituir avião em trajetos médios,turismo
Apps ajudam a descobrir melhor investimento; vídeo explica como,tv
Disney explorará realidade expandida em brinquedos de 'Os Últimos Jedi',tec
Cidade submersa renasce com mirtilo e tirolesa gigante em Santa Catarina,turismo
10 aquários gigantes para visitar ao redor do mundo,turismo
Quatro piscinas em hotéis de Nova York abertas para todos,turismo
Diversidade da natureza na Nova Zelândia é tema de ensaio fotográfico,turismo
"Cabo Verde reúne praias de águas claras, vulcão e montanhas",turismo
"Cidade de Amarillo, no Texas, tem trilhas e cavernas à beira de cânion",turismo
Jovens músicos de Cabo Verde seguem os passos de Cesária Évora,turismo
Peruano que vive no Brasil indica cidades preferidas no país,turismo
Samsung lança Galaxy Note 8 com precaução para bateria não explodir,tec
Jovens dos EUA trocam Facebook por Instagram e Snapchat,tec
Comentários de leitores são analisados por Demétrio Magnoli; assista,tv
"Salário inicial de R$ 5.000 é pouco para professor universitário, diz ministro",educacao
Método experimental prevê demência dois anos antes de sintomas,equilibrioesaude
Acesso à informação científica não torna as pessoas mais sensatas,ciencia
"Esquecimentos podem ser importantes para funcionamento do cérebro, diz estudo",equilibrioesaude
"Contrários à onda fitness, movimentos pregam o fim do 'corpo ideal'",equilibrioesaude
Ex-participantes do 'MasterChef' ensinam receitas para matar a larica,tv
"Em Washington, nuvem frustra observação do ápice do eclipse solar",ciencia
Lagostins levam 'pânico' às trilhas de parque no centro de Berlim,turismo
Começa nesta segunda inscrição para vestibular da Fuvest; saiba o que fazer,educacao
Brasileiros apostam em veneno de vespa na guerra contra superbactérias,ciencia
"Cientistas acham anquilossauro, espécie inédita de dinossauro no Brasil",ciencia
Por que Einstein teve que esperar que um eclipse confirmasse sua teoria da relatividade,ciencia
"Missão de exploração espacial mais longeva, Voyager completa 40 anos",ciencia
O professor americano que ensina os alunos a sobreviverem como homens das cavernas,educacao
"Tenho uma bolha na gengiva. O que faço, devo me preocupar?",equilibrioesaude
"Nos EUA, 1º Estado a ver eclipse espera evento com bonés, postais e trânsito",ciencia
Tensão contra turistas sobe na Europa,turismo
Bancos ou corretoras? Vídeo mostra diferenças nos caminhos para investir,tv
Vistoria encontra comida vencida e pombo em refeitório de escolas de SP,educacao
'Universidade do Lula' criada para receber africanos vive crise no sertão,educacao
Surtos de febre amarela no país têm origem no norte da América do Sul,equilibrioesaude
ANS vai ter regras para que planos de saúde monitorem obesidade,equilibrioesaude
"Um dilema no estudo de câncer: testes clínicos demais, pacientes de menos",equilibrioesaude
Android libera assistente de voz em português para todos os celulares,tec
Joel Pinheiro da Fonseca responde a comentários feitos em suas colunas,tv
"'Perdi 47 kg após bariátrica, mas a luta ainda é diária', diz enfermeira",equilibrioesaude
Queijo feito na serra da Canastra é patrimônio cultural,turismo
"Ilha de Hvar, na Croácia, cansou da bagunça e dos turistas bêbados",turismo
Veja opções dentro e fora do Brasil para ir no feriado da Independência,turismo
"Não haverá atraso nem corte de bolsas, diz secretário do Ministério da Ciência",ciencia
Escola com mensalidade de R$ 8.000 já tem 2.000 pais interessados em SP,educacao
Conheça cinco bairros típicos de imigrantes pelo mundo,turismo
"Serra da Canastra abriga cachoeiras, cânions e um queijo do outro mundo",turismo
Começa temporada de reprodução de baleias e tartarugas nas Américas,turismo
"Arquitetura utópica leva forasteiros ao deserto do Arizona, nos EUA",turismo
Riqueza do queijo da Canastra está nas suas irregularidades,turismo
Fotógrafo utiliza câmera com infravermelho para registrar floresta,turismo
"'Voltaria todos os anos a Reykjavík, na Islândia', diz youtuber Danielle Noce",turismo
Governo é contra liberação irrestrita da maconha para uso medicinal,equilibrioesaude
"Instituto Serrapilheira, dos Moreira Salles, abre inscrições para edital",ciencia
Os segredos de 5 dos países com maior expectativa de vida,equilibrioesaude
O misterioso sinal espacial detectado há 40 anos que até hoje intriga astrônomos,ciencia
"Em premiação de oncologia, cientista pede mais verba para ciência do país",equilibrioesaude
Vídeo explica o que pode mudar nas eleições com a reforma política,tv
Genética é só uma das armadilhas no caminho do emagrecimento,equilibrioesaude
'Onda estrangeira' força adaptação de escolas da rede municipal de SP,educacao
Iniciativas que auxiliam tratamento de câncer são premiadas; veja cerimônia,tv
"Alemães se envergonham de turistas conterrâneos, diz estudo",turismo
"'Professora, você é homem?' A vida de uma mulher trans na sala de aula",educacao
Websérie 'Diálogos Transformadores' debate uso responsável de tecnologias,tv
Psiconeuroimunologia: a intrigante técnica de escrever sobre traumas que ajuda a curar o corpo,equilibrioesaude
"Os abusos que sofri me transformaram em quem eu sou, afirma Titi Müller",tv
Veja dicas para fazer parte dos 10% que mantêm o peso após dieta,equilibrioesaude
"Competição feroz por mamutes foi chave na extinção dos neandertais, afirmam cientistas",ciencia
Univesp cria maior plano de expansão em meio a crise e evasão elevada,educacao
Vídeo mostra por todos os ângulos a emoção de um salto de paraquedas,tv
Conheça 36 'fórmulas mágicas' para emagrecer e por que não funcionam,equilibrioesaude
"Cardiologistas adotam critérios mais rígidos para colesterol ruim, o LDL",equilibrioesaude
"O 1º sutiã, Snoopy ao piano, minhocas: filhos lembram casos de pais famosos",tv
"Sozinho, exercício não emagrece, mas aumenta músculo e limita fome",equilibrioesaude
Governo veta prioridade para metas de educação no orçamento de 2018,educacao
Reportagem da Folha sobre a inadimplência no Fies é premiada,educacao
A surpreendente capacidade das abelhas de compreender o conceito do zero,ciencia
Pesquisadores criam protótipo de celular sem bateria,tec
"Brasil patina em plano de metas para a educação, e gestão Temer culpa Dilma",educacao
'Doei minha pele à minha irmã gêmea com câncer',equilibrioesaude
Vídeo explica em 3 minutos como remédios são liberados no Brasil,tv
Obesidade quase dobra entre os jovens brasileiros em dez anos,equilibrioesaude
App cria clone para aplacar solidão e perpetuar existência de seus usuários,tec
Ciclista acha fóssil de dinossauro de quase um metro no interior de SP,ciencia
Até ateus acham que quem comete atos imorais provavelmente é ateu,ciencia
"Sarahah, o polêmico app saudita de mensagens anônimas que já tem 300 mi de usuários e só 3 funcionários",tec
Folha Explica os últimos capítulos da crise política na Venezuela,tv
Aulas presenciais e também on-line incentivam exercícios de mães e bebês,equilibrioesaude
Muro bloqueia migrantes entre Sérvia e Hungria; veja região em vídeo 360°,tv
Pesquisa de tumor cerebral ganha prêmio de oncologia,equilibrioesaude
Livro conta a história do Brasil antes de Cabral para acabar com clichês,ciencia
Como o Canadá se tornou uma superpotência em educação,educacao
Queda dos juros pode ser boa ou ruim; entenda em vídeo de três minutos,tv
Pesquisas sobre esclerose múltipla exploram 'rota de células de defesa',equilibrioesaude
Por que quando uso cotonete fico com vontade de tossir?,equilibrioesaude
"Japoneses, quase que por acidente, criam sorvete que não derrete",ciencia
Cientistas dizem estar mais perto da cura do resfriado,equilibrioesaude
"'Tem gente que se apega tanto à beleza que se esquece do bê-a-bá', diz Jaloo",tv
Escolas estaduais de SP terão mural com nota do Idesp e plano de melhoria,educacao
"Pela 1ª vez em 380 anos, Harvard tem maioria 'não branca' de calouros",educacao
"Com pele escamosa ainda preservada, fóssil de dinossauro ganha história",ciencia
O kit simples feito com camisinha que pode salvar vidas de mulheres após o parto,equilibrioesaude
"Vitória de Temer traz estabilidade, mas a um preço alto, dizem analistas",tv
Nasa abre vaga para 'protetor da Terra' contra ameaça de aliens - com salário de até R$ 580 mil ao ano,ciencia
A mulher cega que pode 'sentir' o mundo ao seu redor,equilibrioesaude
Fotógrafo explora diferentes ângulos da Califórnia; veja imagens,turismo
Roteiro pelo centro histórico de Nápoles tem vista para o mar,turismo
Brasileiros planejam guerra contra espécie de molusco invasor,ciencia
"Principal risco da Islândia é o clima, diz fotógrafa",turismo
Romances de Elena Ferrante guiam passeio por becos e praias de Nápoles,turismo
Islândia tem museu punk no banheiro com bandas ao lado de vasos sanitários,turismo
Bairro de 'Despacito' vira atração turística na capital de Porto Rico,turismo
Cidade se impõe como cenário ou ameaça desde o primeiro livro,turismo
Brasileiras criam passeio turístico feminista em Londres,turismo
"Ilha de Ischia tem castelo, namorados e famílias descritas por Elena Ferrante",turismo
"'Não voltaria a resort na Bahia', diz confeiteira Carole Crema",turismo
Memes e famosos chamam atenção aos vídeos de segurança de aviões,turismo
UFRJ anuncia que alunos ficarão sem bolsa de pesquisa do CNPq,ciencia
"Vitória de Temer é 'uma crônica de sobrevida anunciada', diz analista",tv
O que é a dieta cetogênica e o quão efetiva (e saudável) é para perder peso,equilibrioesaude
"Temer mostra força, mas futuro do governo é incerto, avaliam repórteres",tv
'Oportunidade única em quase cem anos': como a Nasa se prepara para o eclipse total do Sol,ciencia
Uso de sangue de verme marinho em transfusões é estudado por cientistas,ciencia
Edição de DNA em embriões humanos feita nos EUA é confirmada por revista,ciencia
Vídeo explica a votação da denúncia contra Temer e seus resultados,tv
Amamentação exclusiva no Brasil não alcança meta da OMS,equilibrioesaude
"Em pesquisa, 21% dizem que exame de toque retal não é 'coisa de homem'",equilibrioesaude
"Cientistas descobrem a mãe, que também é o pai, de todas as flores",ciencia
Governo autoriza abertura de 11 novos cursos de medicina no Sul e Sudeste,educacao
Fuvest divulga manual para vestibular 2018; taxa de inscrição vai a R$ 170,educacao
"Pesquisadora da Uerj, que passa por crise, ganha prêmio de R$ 50 mil",ciencia
A impressionante vista da maior ponte suspensa para pedestres do mundo,turismo
"Mulheres com gengivite crônica têm mais chances de ter câncer, diz estudo",equilibrioesaude
Associações francesas alertam para riscos de nanomateriais para a saúde,equilibrioesaude
Como cola inspirada em gosma de lesma pode ajudar a salvar vidas,ciencia
Crise financeira suspende mais uma vez retomada de aulas na Uerj,educacao
Comentários de leitores são analisados por Leandro Narloch; assista,tv
'Toma lá dá cá': vídeo explica como funcionam as nomeações do governo,tv
iFood se inspira na Amazon e cria botão para pedido em um clique,tec
Mistério das águas escuras nas Cataratas do Niágara é desvendado,turismo
"Testículos de porco, erva-dos-gatos e outros remédios estranhos para infertilidade na Idade Média",ciencia
Vídeo 360º mostra cotidiano de aldeia indígena na periferia de Manaus,tv
ProUni abre seleção para 77 mil bolsas nesta segunda; veja o que fazer,educacao
Doença portuguesa chegou ao Brasil há 500 anos e ainda é desconhecida,equilibrioesaude
"No SUS falta droga básica para tratar AVC, aponta levantamento do CFM",equilibrioesaude
Apple exclui aplicativo que permite contornar censura na China,tec
